Pregnancy Cassette  - 75
Picron Forte                      69.9
Picron Forte Pain Gel    6.90
Redsungelly                       9.99
Colodium(Loperon)       16.50
Ephedrine 1% drop          4.50
Ephedrine 0.5% drop         3.90
Salidrop (Maestro)              3.50
Paratop tablet                       33.90
Roxidol                                     39.90
Roxodol Extra                         25.90
Wormron tablet                    29.50
Wormron Suspension        3.50
Postinor-2                                  2.90
Rodeine Plus caps(Glomol Plus)    69.90
Glopain Tablet                        25.80
Ronzole(Omeprazole) 20mg   29.50
Ronaxicam                                       22.90
Yodi                                                     8.98
Chloramphenicol eye drop        6.98
Gentamicie ear/eye drop           6.98
Cipro ear/eye drop (Cipac)       6.98
Malaria test Kit                                120
Arfan tablet                                         4.99
Cotton 500grams                             48.00
Honygra  200grams                         3.98
Cold act tablet                                  49.90
Parafenac                                            29.90
Parafenac - extra                             33.90
Ibuglo – Plus                                       79.90
Tetracycline Caps                             70.00
Levon -2                                                10.98
Contra -72                                            89.90
Cyprovite (Glovit) tablet                6.59
Happyrona forte tablet                   79.90
Fluconazole 200mg                        59.90
Fluconazole  150mg                      59.90
Piroxicam (Global)                         21.90
Ronvit bady drop 60ml                 9.80
Poksra                                               49.90
Paratop Extra                     39.90
Ronfit  Forte Caps              55.00
Syringe and needle 10ml    89.98
Syringe and needle 2ml       69.00
Syringe and needle 5ml       69.00
Sulphathiazole (M&B)           170.00
 Ronamol Plus (10)                  29.50
Ronamol Plus                                45.00
Amoksiclav (Rox-Clav)             39.50
Ronamol                                         39.50
Ronamol Pain Gel                        6.90
Paraglo Tab                                       35.90
Ronfit forte Pain Gel                    6.90
 Redsun caps                                 159.00
Ronabru Tab                                    5.50
Vermox 500mg (Meberona)        33.00
Ronluz 100mg                                 35.90
Ronfit – Extra                                  59.90
Ronktone Forte                            110.00
Plastic Envelop                              5.90
Malluart DS 560MG                    12.50
Hemerona Plus                            12.50
Ronabru forte                                5.50
Ronapar Max(30)                         49.90
Ronakcid                                         29.50
Ronsons Forte caps                  17.90
Ronak inhaler                    60
Onidoll Tablet                                    39.50
Dermiron Plus                                     8.90
Malluart Forte suspension              12.50
Ronacoda  Balm (Abonike)                6.85
Redsun Condom                                   68.00
Ronake Lozenges                                65.00
Examination Gloves                              55.98
Ronapar Max                                       12.90
Ronadol Tablet                                    10.98
Ronadem B/S 30G                                 6.90
Ronvit drop 100ml                                 13.50
Picron Extra                                               39.50
Ronabru Max 10                                       49.50
Pregnacy strip                                           180.00
Ronfit forte spray                                      29.50
Ronfit Cold flu Tab                                     15.90
Malluart 140mg(Afran)                             8.90
Paraglo Plus Tabet                                69.80
Roxfer capsule                                      12.90
Parafenac Ds tablet                              25.00
Parafenac Plus                                  25.00
 Ronagra  jelly                                     17.50

